date,price
11/16/17-20:03:53,7896.78
11/16/17-20:17:21,7898.10
11/16/17-20:22:02,7940.35
11/16/17-21:14:13,7841.27
11/16/17-22:29:44,7933.20
11/16/17-23:06:54,7929.75
11/16/17-23:21:41,7993.37
11/16/17-23:22:27,7993.37
11/16/17-23:31:56,7945.70
11/16/17-23:46:43,7936.90
11/16/17-23:47:34,7936.90
11/16/17-23:49:46,7884.10
11/17/17-13:46:43,7945.25
11/17/17-14:00:01,7964.19
11/17/17-15:46:29,7849.63
11/17/17-15:46:56,7849.63
11/17/17-15:52:35,7841.59
11/17/17-15:55:56,7838.08
11/17/17-16:01:41,7836.40
11/17/17-16:06:34,7814.30
11/17/17-16:31:38,7865.36
11/17/17-16:37:46,7862.37
11/17/17-20:41:43,7792.46
11/17/17-20:57:00,7797.47
11/17/17-22:08:23,7697.21
11/17/17-23:11:48,7651.65
11/18/17-09:33:27,7726.31
11/18/17-09:39:45,7726.58
11/18/17-10:22:14,7758.73
11/18/17-10:35:58,7751.10
11/18/17-10:43:45,7732.54
11/18/17-12:07:02,7723.18
11/18/17-15:24:13,7707.46
11/18/17-16:17:16,7735.38
11/18/17-16:45:55,7750.58
11/18/17-21:10:27,7809.47
11/18/17-21:10:49,7809.47
11/18/17-22:05:01,7766.03
11/19/17-13:28:49,7779.21
11/19/17-13:37:41,7773.92
11/19/17-13:41:39,7770.38
11/19/17-14:21:42,7782.48
11/19/17-14:29:26,7785.90
11/19/17-15:43:03,7901.87
11/22/17-18:30:18,8179.26
11/22/17-18:42:16,8202.21
11/23/17-06:18:48,8101.38
11/23/17-13:36:23,8197.73
11/23/17-19:23:06,8170.42
11/25/17-21:58:59,8782.29
11/26/17-14:01:57,9148.72
11/26/17-14:26:22,9231.39
11/26/17-14:33:15,9241.68
11/26/17-14:50:00,9276.33
11/26/17-15:06:22,9318.83
11/26/17-15:44:48,9364.72
11/27/17-19:47:06,9712.07
11/27/17-20:33:58,9688.84
11/27/17-21:23:09,9778.09
11/27/17-21:57:26,9803.84
11/27/17-22:43:10,9812.63
11/27/17-22:53:46,9809.00
11/27/17-22:56:13,9802.45
11/27/17-22:56:43,9802.45
11/27/17-22:59:19,9802.45
12/01/17-16:42:25,10695.80
12/02/17-08:31:09,11288.00
12/02/17-08:35:10,11287.30
12/02/17-12:24:38,11085.60
12/02/17-12:36:20,10961.50
12/03/17-12:12:52,11719.80
12/03/17-12:47:36,11663.20
12/03/17-12:56:08,11664.50
12/03/17-23:38:30,11484.90
12/03/17-23:50:20,11463.50
12/04/17-12:56:19,11484.50
12/04/17-14:27:23,11411.30
12/04/17-18:33:00,11455.30
12/04/17-20:00:44,11593.30
12/04/17-21:05:17,11542.70
12/04/17-22:20:31,11680.00
12/04/17-22:48:45,11678.50
12/05/17-14:58:48,11809.40
12/06/17-01:03:47,12383.90
12/06/17-08:58:12,13140.00
12/06/17-10:44:29,12988.00
12/06/17-10:47:46,13007.10
12/06/17-10:49:01,13007.10
12/06/17-10:54:14,13035.7
12/06/17-15:36:39,12943.8
12/06/17-16:04:15,12912.0
12/07/17-11:56:21,15488.2
12/07/17-12:00:26,15488.2
12/07/17-12:45:55,15848.8
12/07/17-15:45:22,15934.2
12/07/17-15:46:06,15966.4
12/07/17-17:18:58,16519.6a
12/07/17-17:19:57,16519.6
12/07/17-18:59:14,16453.8
12/07/17-19:12:02,16529.5
12/07/17-20:39:54,17551.1
12/08/17-20:44:53,16397.4
12/08/17-21:03:50,16432.9
12/08/17-22:42:32,16647.5
12/08/17-23:32:03,16427.7
12/08/17-23:51:41,16166.4
12/09/17-08:03:17,15517.0
12/10/17-20:04:39,14905.9
12/10/17-20:45:30,15082.7
12/10/17-22:12:31,15404.8
12/13/17-22:24:56,16410.7
12/14/17-09:07:30,16684.5
12/14/17-09:48:50,16668.9
12/14/17-10:48:18,16819.7
12/14/17-10:48:24,16819.7
12/14/17-10:48:41,16819.7
12/14/17-10:53:46,16829.1
12/14/17-10:55:05,16795.7
12/14/17-11:27:37,16813.7
12/14/17-13:19:46,16436.8
12/14/17-14:45:03,16545.7
12/14/17-16:06:24,16728.1
12/14/17-16:07:35,16728.1
12/14/17-20:55:04,16482.0
12/14/17-23:16:22,16933.4
12/15/17-00:15:46,17257.2
12/15/17-18:06:46,17848.2
12/16/17-22:32:27,19409.5
12/16/17-22:33:35,19409.5
12/16/17-22:57:08,19309.8
