date,price
01/01/18-17:22:10,1048.05
01/02/18-12:40:39,1157.48
01/02/18-14:21:35,1149.5
01/04/18-16:03:57,1257.75
01/05/18-23:21:27,1165.33
01/06/18-00:34:21,1150.49
01/06/18-01:00:10,1158.22
01/06/18-10:00:42,1231.67
01/06/18-12:25:01,1244.55
01/06/18-13:56:23,1251.28
01/08/18-15:31:39,1087.77
01/08/18-16:43:12,1099.72
01/08/18-22:46:25,1089.82
01/09/18-20:11:52,1112.66
01/09/18-21:24:49,1114.88
01/10/18-16:03:06,1090.17
01/10/18-16:48:48,1089.41
01/10/18-16:59:37,1091.38
01/12/18-18:30:22,1049.13
01/12/18-19:31:03,1050.46
01/12/18-22:47:07,1072.85
01/13/18-20:22:50,1106.98
01/13/18-21:03:16,1111.41
01/14/18-00:12:06,1104.22
01/14/18-17:26:54,1018.08
01/15/18-00:31:14,1005.94
01/15/18-02:03:27,1009.14
01/15/18-15:02:54,1011.22
01/15/18-15:19:39,1006.92
01/15/18-17:00:30,993.165
01/15/18-18:56:40,982.172
01/16/18-00:02:21,878.841
01/16/18-00:29:25,872.478
01/16/18-13:40:55,857.14
01/16/18-15:05:50,860.424
01/16/18-17:49:06,816.011
01/16/18-18:23:48,792.25
01/16/18-18:46:01,786.799
01/16/18-19:37:32,746.891
01/16/18-20:26:53,674.488
01/16/18-21:52:36,751.04
01/17/18-13:21:30,638.582
01/17/18-17:26:26,711.46
01/17/18-17:43:38,713.736
01/17/18-18:32:38,764.546
01/17/18-19:02:04,777.434
01/18/18-10:12:48,833.949
01/18/18-12:06:01,845.541
01/18/18-12:29:58,846.508
01/18/18-14:06:52,889.781
01/18/18-15:36:14,887.581
01/18/18-16:44:24,876.984
01/18/18-17:31:18,869.058
01/19/18-10:54:28,864.767
01/19/18-12:43:43,855.198
01/19/18-15:13:30,855.655
01/19/18-16:32:39,844.627
01/20/18-14:07:07,923.391
01/20/18-14:21:24,929.181
01/21/18-15:03:21,813.518
02/02/18-12:12:26,548.519
02/02/18-17:08:53,564.756
02/03/18-10:45:29,607.904
02/04/18-17:31:47,565.04
02/07/18-11:50:31,577.939
02/07/18-16:30:41,579.2
02/08/18-00:03:43,545.031
02/08/18-16:26:50,559.597
02/09/18-14:07:52,610.231
02/09/18-23:34:08,651.998
02/12/18-12:56:24,611.939
02/12/18-23:18:55,622.399
02/15/18-14:14:04,696.346
02/16/18-14:00:47,698.356
02/24/18-21:49:39,591.28
03/01/18-23:20:27,617.324
03/04/18-20:25:03,615.06
03/05/18-16:52:46,615.854
03/05/18-19:06:06,614.124
03/07/18-09:01:28,561.323
03/09/18-00:49:48,474.111
03/12/18-17:47:11,492.489
03/12/18-19:07:13,499.429
03/12/18-19:07:20,499.429
03/12/18-19:08:15,499.429
03/14/18-13:25:11,464.985
03/14/18-18:10:59,433.352
03/16/18-14:00:12,425.392
03/17/18-02:14:48,422.56
03/17/18-17:28:55,384.163
03/18/18-00:59:12,369.972
03/19/18-11:21:12,405.389
03/20/18-11:17:26,400.582
03/20/18-11:19:30,402.001
03/23/18-01:10:12,405.742
03/26/18-14:09:06,383.934
03/26/18-23:52:10,374.849
03/28/18-14:09:34,355.287
03/29/18-13:02:28,324.271
03/31/18-22:51:15,309.838
04/01/18-14:23:59,302.696
04/02/18-14:36:05,301.112
04/03/18-17:14:06,341.229
04/06/18-10:06:51,287.938
04/06/18-13:00:26,284.857
04/07/18-13:13:47,306.128
04/07/18-13:19:15,307.514
04/07/18-13:21:15,307.706
04/09/18-21:49:14,299.009
04/09/18-22:34:11,297.175
04/10/18-23:07:32,298.505
04/11/18-13:45:31,302.99
04/11/18-19:30:10,304.453
04/14/18-23:10:15,364.344
04/15/18-17:01:46,379.894
04/15/18-22:38:06,380.721
04/16/18-13:34:56,357.054
04/16/18-19:19:43,361.713
04/18/18-14:05:00,394.73
04/18/18-14:16:08,395.877
04/18/18-14:16:55,395.877
04/18/18-14:17:44,395.877
04/22/18-20:37:40,466.854
04/23/18-20:11:59,502.928
04/24/18-18:58:00,532.137
04/25/18-10:51:08,471.226
04/25/18-22:59:09,458.623
04/28/18-01:51:33,480.827
04/28/18-17:34:37,499.818
04/29/18-22:19:06,498.46
05/02/18-12:50:57,471.079
05/03/18-16:24:48,501.217
05/04/18-00:23:41,492.763
