date,price
11/17/17-15:52:36,0.001332
11/17/17-15:55:58,0.001310
11/17/17-16:01:42,0.001313
11/17/17-16:06:34,0.001295
11/17/17-16:31:39,0.001311
11/17/17-16:37:47,0.001294
11/17/17-20:41:45,0.001291
11/17/17-20:57:02,0.001303
11/17/17-22:08:24,0.001308
11/17/17-23:11:49,0.001261
11/18/17-09:33:28,0.001296
11/18/17-09:39:46,0.001290
11/18/17-10:22:15,0.001328
11/18/17-10:35:59,0.001307
11/18/17-10:43:47,0.001319
11/18/17-12:07:04,0.001308
11/18/17-15:24:14,0.001330
11/18/17-16:17:18,0.001311
11/18/17-16:45:57,0.001329
11/18/17-21:10:28,0.001356
11/18/17-21:10:50,0.001356
11/18/17-22:05:02,0.001373
11/19/17-13:28:51,0.001371
11/19/17-13:37:42,0.001370
11/19/17-13:41:41,0.001391
11/19/17-14:21:43,0.001397
11/19/17-14:29:28,0.001385
11/19/17-15:43:04,0.001401
11/22/17-18:30:18,0.001491
11/22/17-18:42:17,0.001526
11/23/17-06:18:49,0.001967
11/23/17-13:36:26,0.002206
11/23/17-19:23:07,0.002023
11/25/17-21:59:01,0.002068
11/26/17-14:01:58,0.001982
11/26/17-14:26:23,0.002023
11/26/17-14:33:17,0.002032
11/26/17-14:50:02,0.001999
11/26/17-15:06:14,0.001994
11/26/17-15:06:23,0.001994
11/26/17-15:07:11,0.001994
11/26/17-15:07:47,0.001994
11/26/17-15:07:50,0.001994
11/26/17-15:07:53,0.001994
11/26/17-15:08:01,0.001994
11/26/17-15:44:50,0.001983
11/27/17-19:47:07,0.001972
11/27/17-20:33:59,0.001980
11/27/17-21:23:10,0.001967
11/27/17-21:57:26,0.002008
11/27/17-22:43:10,0.001987
11/27/17-22:53:47,0.001971
11/27/17-22:56:14,0.001971
11/27/17-22:56:44,0.001973
11/27/17-22:59:20,0.001973
12/01/17-16:42:26,.002089 
12/02/17-08:31:10,.002166 
12/02/17-08:34:36,.002178 
12/02/17-08:35:10,0.002178
12/02/17-08:36:05,0.002178
12/02/17-12:24:39,0.002044
12/02/17-12:36:21,0.002043
12/03/17-12:12:53,0.002275
12/03/17-12:47:37,0.002256
12/03/17-12:56:09,0.002266
12/03/17-23:38:31,0.002209
12/03/17-23:50:21,0.002238
12/04/17-12:56:20,0.002253
12/04/17-14:27:24,0.002280
12/04/17-18:33:01,0.002368
12/04/17-20:00:45,0.002406
12/04/17-21:05:18,0.002475
12/04/17-22:20:32,0.002469
12/04/17-22:48:46,0.002473
12/05/17-14:58:49,0.002471
12/06/17-01:03:48,0.002500
12/06/17-08:58:13,0.002539
12/06/17-10:44:30,0.002479
12/06/17-10:47:48,0.00251912
12/06/17-10:49:02,0.00251912
12/06/17-10:54:15,0.0025175 
12/06/17-15:36:41,0.00245005
12/06/17-16:04:16,0.0024487 
12/07/17-11:56:22,0.00256737
12/07/17-12:00:28,0.00263744
12/07/17-12:45:56,0.00259453
12/07/17-15:45:23,0.00255816
12/07/17-15:46:07,0.00255816
12/07/17-17:18:59,0.00269609
12/07/17-17:19:58,0.00269609
12/07/17-18:59:15,0.00271526
12/07/17-19:12:03,0.00268838
12/07/17-20:39:55,0.00275204
12/08/17-20:44:54,0.00268497
12/08/17-21:03:51,0.00272975
12/08/17-22:42:34,0.00274616
12/08/17-23:32:04,0.00275098
12/08/17-23:51:43,0.00270062
12/09/17-08:03:18,0.00274927
12/10/17-20:04:41,0.00249534
12/10/17-20:45:32,0.0025159 
12/10/17-22:12:32,0.0025516 
12/13/17-22:24:57,0.00343082
12/14/17-09:07:31,0.00357331
12/14/17-09:48:51,0.00363051
12/14/17-09:49:10,0.00363051
12/14/17-09:49:27,0.00363051
12/14/17-09:49:33,0.00363051
12/14/17-09:49:38,0.00363051
12/14/17-09:49:43,0.00363051
12/14/17-09:49:46,0.00363051
12/14/17-09:49:51,0.00358243
12/14/17-09:49:55,0.00358243
12/14/17-09:49:59,0.00358243
12/14/17-09:50:04,0.00358243
12/14/17-09:50:07,0.00358243
12/14/17-09:50:09,0.00358243
12/14/17-09:50:12,0.00358243
12/14/17-09:50:15,0.00358243
12/14/17-10:53:47,0.00361584
12/14/17-10:55:14,0.00361169
12/14/17-11:13:14,0.00361633
12/14/17-11:27:39,0.00357454
12/14/17-13:19:50,0.00351266
12/14/17-13:20:00,0.00351266
12/14/17-14:45:04,0.00351553
12/14/17-16:06:26,0.00355127
12/14/17-16:07:36,0.00355127
12/14/17-20:55:05,0.00362661
12/14/17-23:16:23,0.003675
12/15/17-00:15:48,0.00370805
12/15/17-18:06:47,0.00374124
12/16/17-22:32:27,0.00584542
12/16/17-22:33:36,0.00584542
12/16/17-22:57:11,0.00566749
12/16/17-22:58:47,0.00566749
12/16/17-23:02:43,0.00569497
12/16/17-23:46:31,0.00558633
12/17/17-00:36:21,0.00588953
12/17/17-14:43:21,0.00609978
12/17/17-14:43:31,0.00609978
12/17/17-15:41:32,0.00602807
12/17/17-15:42:21,0.00602807
12/17/17-16:12:14,0.00597088
12/17/17-16:24:46,0.00607477
12/17/17-16:48:08,0.00614412
12/17/17-17:59:15,0.0060394 
12/17/17-22:23:06,0.00596531
12/17/17-22:40:35,0.0059615 
12/17/17-23:13:38,0.00565503
12/18/17-00:26:50,0.0059798 
12/18/17-12:51:03,0.00607246
12/18/17-13:22:05,0.00622632
12/18/17-13:44:00,0.00617808
12/18/17-13:44:17,0.00617808
12/18/17-14:26:29,0.00624729
12/19/17-11:15:26,0.00599705
12/19/17-12:46:09,0.00587223
12/19/17-13:42:45,0.00591286
12/19/17-14:45:18,0.005935
12/19/17-22:50:02,0.00511823
12/20/17-09:42:27,0.00554941
12/20/17-10:30:57,0.00566926
12/20/17-13:44:48,0.00566478
12/20/17-17:37:06,0.00621214
12/20/17-17:37:15,0.00621214
12/20/17-17:37:58,0.00621214
12/20/17-19:14:43,0.0064283 
12/20/17-20:02:57,0.00648318
12/20/17-20:03:13,0.00648318
12/21/17-00:12:00,0.00672633
12/21/17-00:12:12,0.00672633
12/21/17-00:12:15,0.00672633
12/21/17-11:14:40,0.00838821
12/21/17-11:14:56,0.00838821
12/21/17-15:18:44,0.00762154
12/21/17-17:27:27,0.00726559
12/21/17-18:26:28,0.00732496
12/22/17-00:00:23,0.00663445
12/22/17-14:23:16,0.00528455
12/22/17-16:39:26,0.00553064
12/23/17-13:21:25,0.00782574
12/23/17-14:05:05,0.00744636
