date,price
11/17/17-15:52:36,331.93
11/17/17-15:55:59,331.90
11/17/17-16:01:43,331.78
11/17/17-16:06:36,331.85
11/17/17-16:31:40,332.43
11/17/17-16:37:48,332.99
11/17/17-20:41:46,333.60
11/17/17-20:57:03,332.85
11/17/17-22:08:25,331.98
11/17/17-23:11:51,329.40
11/18/17-09:33:29,332.72
11/18/17-09:39:48,332.97
11/18/17-10:22:16,333.86
11/18/17-10:36:00,333.70
11/18/17-10:43:48,333.65
11/18/17-12:07:05,334.08
11/18/17-15:24:15,335.48
11/18/17-16:17:19,335.33
11/18/17-16:45:58,336.83
11/18/17-21:10:29,348.55
11/18/17-21:10:52,346.66
11/18/17-22:05:03,347.61
11/19/17-13:28:51,358.11
11/19/17-13:37:44,357.19
11/19/17-13:41:41,357.29
11/19/17-14:21:44,359.58
11/19/17-14:29:29,360.63
11/19/17-15:43:05,358.66
11/22/17-18:30:20,368.82
11/22/17-18:42:19,369.18
11/23/17-06:18:50,379.66
11/23/17-13:36:29,414.75
11/23/17-19:23:09,418.86
11/25/17-21:59:02,466.28
11/26/17-14:01:59,459.58
11/26/17-14:26:24,457.62
11/26/17-14:33:18,457.14
11/26/17-14:50:03,456.40
11/26/17-15:06:24,454.71
11/26/17-15:44:51,461.71
11/27/17-19:47:08,478.88
11/27/17-20:34:01,479.12
11/27/17-21:23:11,482.33
11/27/17-21:57:28,480.92
11/27/17-22:43:11,479.48
11/27/17-22:53:48,480.10
11/27/17-22:56:15,479.77
11/27/17-22:56:45,479.77
11/27/17-22:59:21,479.77
12/01/17-16:42:26,461.06
12/02/17-08:31:11,475.13
12/02/17-08:32:02,475.13
12/02/17-08:33:50,475.13
12/02/17-08:34:09,475.13
12/02/17-08:34:42,475.13
12/02/17-08:35:11,475.13
12/02/17-08:36:05,473.82 
12/02/17-12:24:39,461.98 
12/02/17-12:36:22,458.54 
12/03/17-12:12:54,480.90 
12/03/17-12:47:38,478.88 
12/03/17-12:56:10,478.50 
12/03/17-23:38:32,467.15 
12/03/17-23:50:22,467.25 
12/04/17-12:56:22,467.38 
12/04/17-14:27:25,463.96 
12/04/17-18:33:02,465.50 
12/04/17-20:00:46,467.15 
12/04/17-21:05:19,465.66 
12/04/17-22:20:33,470.77 
12/04/17-22:48:47,470.40 
12/05/17-14:58:49,458.57 
12/06/17-01:03:49,451.73
12/06/17-08:58:14,451.41
12/06/17-10:44:31,447.95
12/06/17-10:47:49,448.22
12/06/17-10:49:03,448.224
12/06/17-10:54:17,449.056
12/06/17-15:36:41,442.148
12/06/17-16:04:16,438.8
12/07/17-11:56:23,430.317
12/07/17-12:00:29,430.136
12/07/17-12:45:57,428.605
12/07/17-15:45:24,425.482
12/07/17-15:46:08,425.482
12/07/17-17:19:01,433.354
12/07/17-17:19:58,431.523
12/07/17-18:59:15,440.916
12/07/17-19:12:04,440.139
12/07/17-20:39:57,432.967
12/08/17-20:44:55,458.794
12/08/17-21:03:53,459.07 
12/08/17-22:42:36,457.637
12/08/17-23:32:06,462.018
12/08/17-23:51:44,464.235
12/09/17-08:03:19,495.898
12/10/17-20:04:43,441.595
12/10/17-20:45:33,441.171
12/10/17-22:12:33,439.104
12/13/17-22:24:59,698.412
12/14/17-09:07:31,732.618
12/14/17-09:48:52,722.592
12/14/17-10:53:47,717.058
12/14/17-10:55:20,714.065
12/14/17-11:27:39,701.289
12/14/17-13:19:50,668.194
12/14/17-14:45:06,679.584
12/14/17-16:06:27,682.075
12/14/17-16:07:37,682.075
12/14/17-20:55:06,688.329
12/14/17-23:16:24,677.041
12/15/17-00:15:48,657.64 
12/15/17-18:06:48,685.866
12/16/17-22:32:28,707.264
12/16/17-22:33:37,707.264
12/16/17-22:57:12,711.899
12/16/17-23:02:45,710.631
12/16/17-23:46:32,714.329
12/17/17-00:36:21,711.304
12/17/17-14:43:22,715.507
12/17/17-15:41:33,713.219
12/17/17-16:12:15,715.675
12/17/17-16:24:47,717.183
12/17/17-17:59:15,717.264
12/17/17-22:23:08,722.154
12/17/17-22:40:36,717.681
12/17/17-23:13:38,696.551
12/18/17-00:26:51,708.787
12/18/17-12:51:04,722.473
12/18/17-13:22:06,728.46 
12/18/17-13:44:00,735.795
12/19/17-11:15:27,841.616
12/19/17-12:46:10,839.306
12/19/17-13:42:46,839.639
12/19/17-14:45:19,837.54
12/19/17-22:50:03,758.888
12/20/17-09:42:28,820.382
12/20/17-10:30:58,840.981
12/20/17-13:44:49,828.161
12/20/17-17:37:07,825.241
12/20/17-19:14:45,817.383
12/20/17-20:03:01,812.206
12/21/17-00:12:02,823.291
12/21/17-11:14:41,865.475
12/21/17-15:18:45,820.59 
12/21/17-17:27:28,809.711
12/21/17-18:26:29,804.453
12/22/17-00:00:25,773.468
12/22/17-14:23:17,630.906
12/22/17-16:39:27,654.643
12/23/17-13:21:27,760.93 
12/23/17-14:05:06,736.644
12/23/17-19:27:32,761.028
12/23/17-23:17:10,711.241
12/27/17-11:47:20,776.284
12/27/17-14:02:27,763.647
12/27/17-17:31:35,763.576
12/28/17-11:03:38,724.644
12/29/17-10:27:38,740.364
12/29/17-14:41:52,770.117
12/29/17-16:03:27,758.621
12/30/17-12:08:40,704.254
12/30/17-12:14:12,708.289
12/30/17-12:35:42,705.516
12/30/17-16:53:38,706.927
